Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic
File,"D:\download\apollo-1.0.0\apollo-1.0.0\modules\canbus\can_client\can_client.h",D:\download\apollo-1.0.0\apollo-1.0.0\modules\canbus\can_client\can_client.h,21,0,21,0,6,0.00,0.00,0,0,,,,2,,,,,,5,,,,,,,,,,,,,,163,20,44,0,0,89,0,13,,26,29,21,0,8,,2,,1,,2.02,4
File,"D:\download\apollo-1.0.0\apollo-1.0.0\modules\canbus\can_client\can_client_factory.cc",D:\download\apollo-1.0.0\apollo-1.0.0\modules\canbus\can_client\can_client_factory.cc,7,0,6,0,2,0.00,0.00,0,0,,,,0,,,,,,3,,,,,,,,,,,,,,55,8,21,9,4,17,3,9,,6,5,2,0,3,,3,,1,,0.81,5
File,"D:\download\apollo-1.0.0\apollo-1.0.0\modules\canbus\can_client\can_client_factory.h",D:\download\apollo-1.0.0\apollo-1.0.0\modules\canbus\can_client\can_client_factory.h,7,2,4,3,1,0.00,0.00,0,0,,,,1,,,,,,1,,,,,,,,,,,,,,69,10,13,0,0,41,0,8,,4,9,8,0,2,,1,,0,,3.15,1
File,"D:\download\apollo-1.0.0\apollo-1.0.0\modules\canbus\can_client\can_client_factory_test.cc",D:\download\apollo-1.0.0\apollo-1.0.0\modules\canbus\can_client\can_client_factory_test.cc,15,2,5,0,1,0.00,0.00,0,0,,,,0,,,,,,1,,,,,,,,,,,,,,43,8,9,6,3,17,6,5,,3,4,2,0,3,,1,,0,,1.89,1
File,"D:\download\apollo-1.0.0\apollo-1.0.0\modules\canbus\can_client\can_client_tool.cc",D:\download\apollo-1.0.0\apollo-1.0.0\modules\canbus\can_client\can_client_tool.cc,17,1,16,0,3,0.00,0.00,0,0,,,,2,,,,,,15,,,,,,,,,,,,,,337,33,269,76,157,23,0,14,,172,217,97,0,123,,11,,3,,0.09,41
File,"D:\download\apollo-1.0.0\apollo-1.0.0\modules\canbus\can_client\esd\esd_can_client.cc",D:\download\apollo-1.0.0\apollo-1.0.0\modules\canbus\can_client\esd\esd_can_client.cc,40,3,22,4,4,0.00,0.00,0,0,,,,1,,,,,,6,,,,,,,,,,,,,,287,27,141,30,37,55,31,38,,64,46,16,0,31,,6,,2,,0.39,23
File,"D:\download\apollo-1.0.0\apollo-1.0.0\modules\canbus\can_client\esd\esd_can_client.h",D:\download\apollo-1.0.0\apollo-1.0.0\modules\canbus\can_client\esd\esd_can_client.h,0,0,0,0,0,0.00,0.00,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,109,14,23,0,0,65,0,11,,12,11,11,0,0,,0,,0,,2.83,0
File,"D:\download\apollo-1.0.0\apollo-1.0.0\modules\canbus\can_client\esd\esd_can_client_test.cc",D:\download\apollo-1.0.0\apollo-1.0.0\modules\canbus\can_client\esd\esd_can_client_test.cc,20,1,19,0,1,0.00,0.00,0,0,,,,0,,,,,,1,,,,,,,,,,,,,,54,9,26,12,6,18,0,4,,15,9,6,0,4,,1,,0,,0.69,1
File,"D:\download\apollo-1.0.0\apollo-1.0.0\modules\canbus\can_client\fake\fake_can_client.cc",D:\download\apollo-1.0.0\apollo-1.0.0\modules\canbus\can_client\fake\fake_can_client.cc,8,0,7,0,2,0.00,0.00,0,0,,,,0,,,,,,6,,,,,,,,,,,,,,80,12,51,18,19,19,0,2,,30,26,5,0,21,,4,,2,,0.37,12
File,"D:\download\apollo-1.0.0\apollo-1.0.0\modules\canbus\can_client\fake\fake_can_client.h",D:\download\apollo-1.0.0\apollo-1.0.0\modules\canbus\can_client\fake\fake_can_client.h,0,0,0,0,0,0.00,0.00,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,110,16,23,0,0,67,0,8,,12,11,11,0,0,,0,,0,,2.91,0
