Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic
Function,"CollectStatsGroup",D:\download\apollo-2.5.0\apollo-2.5.0\modules\planning\tools\planning_stats.cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,0,9,1,6,0,0,0,8,5,6,0,0,6,2,,,1,,0.00,
Function,"CreateOverlapId",D:\download\apollo-2.5.0\apollo-2.5.0\modules\map\hdmap\adapter\proto_organizer.cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,2,3,0,0,0,2,3,3,1,0,2,1,,,0,,0.00,
Function,"CreateTrafficLightDetection",D:\download\apollo-2.5.0\apollo-2.5.0\modules\tools\manual_traffic_light\manual_traffic_light.cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,0,15,5,4,0,0,0,2,8,5,2,0,3,1,,,0,,0.00,
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\calibration\lidar_ex_checker\common\lidar_ex_checker_gflags.cc",D:\download\apollo-2.5.0\apollo-2.5.0\modules\calibration\lidar_ex_checker\common\lidar_ex_checker_gflags.cc,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,28,5,7,4,0,15,0,1,,4,4,4,0,0,,0,,0,,2.14,0
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\calibration\lidar_ex_checker\common\lidar_ex_checker_gflags.h",D:\download\apollo-2.5.0\apollo-2.5.0\modules\calibration\lidar_ex_checker\common\lidar_ex_checker_gflags.h,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,32,6,4,0,0,18,0,4,,4,4,4,0,0,,0,,0,,4.50,0
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\calibration\lidar_ex_checker\lidar_ex_checker.cc",D:\download\apollo-2.5.0\apollo-2.5.0\modules\calibration\lidar_ex_checker\lidar_ex_checker.cc,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,206,38,144,4,0,17,0,9,,94,1,1,0,0,,0,,0,,0.12,0
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\calibration\lidar_ex_checker\lidar_ex_checker.h",D:\download\apollo-2.5.0\apollo-2.5.0\modules\calibration\lidar_ex_checker\lidar_ex_checker.h,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,99,19,30,0,0,38,0,15,,23,0,0,0,0,,0,,0,,1.27,0
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\calibration\lidar_ex_checker\main.cc",D:\download\apollo-2.5.0\apollo-2.5.0\modules\calibration\lidar_ex_checker\main.cc,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,23,3,1,0,0,15,0,4,,1,0,0,0,0,,0,,0,,15.00,0
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\calibration\republish_msg\common\republish_msg_gflags.cc",D:\download\apollo-2.5.0\apollo-2.5.0\modules\calibration\republish_msg\common\republish_msg_gflags.cc,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,24,3,5,2,0,15,0,1,,2,2,2,0,0,,0,,0,,3.00,0
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\calibration\republish_msg\common\republish_msg_gflags.h",D:\download\apollo-2.5.0\apollo-2.5.0\modules\calibration\republish_msg\common\republish_msg_gflags.h,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,26,5,2,0,0,16,0,4,,2,2,2,0,0,,0,,0,,8.00,0
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\calibration\republish_msg\main.cc",D:\download\apollo-2.5.0\apollo-2.5.0\modules\calibration\republish_msg\main.cc,1,0,1,0,1,0.00,0.00,0,0,,,,0,,,,,,1,,,,,,,,,,,,,,23,3,1,1,1,15,0,4,,1,7,4,0,3,,1,,0,,15.00,1
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\calibration\republish_msg\republish_msg.cc",D:\download\apollo-2.5.0\apollo-2.5.0\modules\calibration\republish_msg\republish_msg.cc,10,2,8,0,1,0.00,0.00,0,0,,,,0,,,,,,6,,,,,,,,,,,,,,95,20,55,14,19,17,0,5,,35,22,5,0,17,,3,,2,,0.31,8
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\calibration\republish_msg\republish_msg.h",D:\download\apollo-2.5.0\apollo-2.5.0\modules\calibration\republish_msg\republish_msg.h,0,0,0,0,0,0.00,0.00,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,66,11,17,0,0,30,0,11,,10,10,10,0,0,,0,,0,,1.76,0
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\canbus.cc",D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\canbus.cc,17,2,14,1,3,0.00,0.00,0,0,,,,0,,,,,,9,,,,,,,,,,,,,,205,35,137,23,51,27,0,8,,72,53,10,0,44,,9,,1,,0.20,24
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\canbus.h",D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\canbus.h,2,0,2,0,1,0.00,0.00,0,0,,,,1,,,,,,1,,,,,,,,,,,,,,108,16,30,0,0,46,0,19,,20,21,21,0,0,,1,,0,,1.53,1
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\canbus_test.cc",D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\canbus_test.cc,4,0,4,0,1,0.00,0.00,0,0,,,,0,,,,,,1,,,,,,,,,,,,,,30,5,8,6,2,17,0,2,,2,3,2,0,2,,1,,0,,2.13,1
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\common\canbus_gflags.cc",D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\common\canbus_gflags.cc,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,39,7,11,8,0,20,0,1,,8,8,8,0,0,,0,,0,,1.82,0
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\common\canbus_gflags.h",D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\common\canbus_gflags.h,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,40,8,8,0,0,20,0,4,,8,8,8,0,0,,0,,0,,2.50,0
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\main.cc",D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\main.cc,1,0,1,0,1,0.00,0.00,0,0,,,,0,,,,,,1,,,,,,,,,,,,,,21,2,1,1,1,15,0,3,,1,7,4,0,4,,1,,0,,15.00,1
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\tools\canbus_tester.cc",D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\tools\canbus_tester.cc,30,6,24,2,3,0.00,0.00,0,0,,,,0,,,,,,1,,,,,,,,,,,,,,56,9,24,6,8,17,0,8,,16,12,6,0,6,,3,,1,,0.71,3
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\tools\teleop.cc",D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\tools\teleop.cc,22,1,21,1,4,0.00,0.00,0,0,,,,1,,,,,,15,,,,,,,,,,,,,,434,39,354,65,192,59,0,12,,230,204,41,11,153,,28,,3,,0.17,60
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\vehicle\abstract_vehicle_factory.cc",D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\vehicle\abstract_vehicle_factory.cc,4,0,4,0,1,0.00,0.00,0,0,,,,0,,,,,,1,,,,,,,,,,,,,,28,4,8,6,0,17,0,1,,1,1,1,0,0,,1,,0,,2.13,1
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\vehicle\abstract_vehicle_factory.h",D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\vehicle\abstract_vehicle_factory.h,0,0,0,0,0,0.00,0.00,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,78,12,14,0,0,47,0,8,,6,5,5,0,0,,0,,0,,3.36,0
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\vehicle\gem\gem_controller.cc",D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\vehicle\gem\gem_controller.cc,18,1,15,1,3,0.00,0.00,0,0,,,,0,,,,,,28,,,,,,,,,,,,,,581,75,437,63,149,64,0,9,,186,113,21,0,92,,17,,3,,0.15,81
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\vehicle\gem\gem_controller.h",D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\vehicle\gem\gem_controller.h,1,0,1,0,1,0.00,0.00,0,0,,,,1,,,,,,1,,,,,,,,,,,,,,138,26,58,0,0,40,0,18,,41,42,42,0,0,,1,,0,,0.69,1
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\vehicle\gem\gem_message_manager.cc",D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\vehicle\gem\gem_message_manager.cc,18,1,17,1,1,0.00,0.00,0,0,,,,0,,,,,,2,,,,,,,,,,,,,,94,8,39,8,30,19,0,31,,30,31,1,0,30,,1,,0,,0.49,2
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\vehicle\gem\gem_message_manager.h",D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\vehicle\gem\gem_message_manager.h,0,0,0,0,0,0.00,0.00,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,39,7,13,0,0,18,0,5,,4,3,3,0,0,,0,,0,,1.38,0
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\vehicle\gem\gem_vehicle_factory.cc",D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\vehicle\gem\gem_vehicle_factory.cc,5,0,5,0,1,0.00,0.00,0,0,,,,0,,,,,,2,,,,,,,,,,,,,,39,6,13,6,0,17,0,5,,2,1,1,0,0,,1,,0,,1.31,2
File,"D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\vehicle\gem\gem_vehicle_factory.h",D:\download\apollo-2.5.0\apollo-2.5.0\modules\canbus\vehicle\gem\gem_vehicle_factory.h,0,0,0,0,0,0.00,0.00,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,68,10,11,0,0,42,0,8,,4,3,3,0,0,,0,,0,,3.82,0
