Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\canbus.h",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\canbus.h,2,0,2,0,1,0.00,0.00,0,0,,,,1,,,,,,1,,,,,,,,,,,,,,111,17,32,0,0,46,0,19,,22,21,21,0,0,,1,,0,,1.44,1
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\canbus_test.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\canbus_test.cc,4,0,4,0,1,0.00,0.00,0,0,,,,0,,,,,,1,,,,,,,,,,,,,,32,6,9,6,2,17,0,2,,3,3,2,0,2,,1,,0,,1.89,1
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\common\canbus_gflags.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\common\canbus_gflags.cc,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,39,7,11,8,0,20,0,1,,8,8,8,0,0,,0,,0,,1.82,0
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\common\canbus_gflags.h",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\common\canbus_gflags.h,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,40,8,8,0,0,20,0,4,,8,8,8,0,0,,0,,0,,2.50,0
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\main.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\main.cc,1,0,1,0,1,0.00,0.00,0,0,,,,0,,,,,,1,,,,,,,,,,,,,,21,2,1,1,1,15,0,3,,1,7,4,0,4,,1,,0,,15.00,1
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\tools\canbus_tester.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\tools\canbus_tester.cc,30,6,24,2,3,0.00,0.00,0,0,,,,0,,,,,,1,,,,,,,,,,,,,,56,9,24,6,8,17,0,8,,16,12,6,0,6,,3,,1,,0.71,3
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\tools\teleop.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\tools\teleop.cc,21,1,20,1,4,0.00,0.00,0,0,,,,1,,,,,,15,,,,,,,,,,,,,,424,41,342,65,209,59,0,12,,228,216,41,10,166,,28,,3,,0.17,60
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\abstract_vehicle_factory.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\abstract_vehicle_factory.cc,4,0,4,0,1,0.00,0.00,0,0,,,,0,,,,,,1,,,,,,,,,,,,,,28,4,8,6,0,17,0,1,,1,1,1,0,0,,1,,0,,2.13,1
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\abstract_vehicle_factory.h",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\abstract_vehicle_factory.h,0,0,0,0,0,0.00,0.00,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,78,12,14,0,0,47,0,8,,6,5,5,0,0,,0,,0,,3.36,0
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\lincoln_controller.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\lincoln_controller.cc,27,2,23,2,4,0.00,0.00,0,0,,,,0,,,,,,27,,,,,,,,,,,,,,809,82,634,87,268,83,0,14,,286,202,33,0,169,,18,,3,,0.13,99
